city_ascii,country,lat,lng,tasmax_thresh,pr_thresh
Daegu,South Korea,35.8717,128.6017,33.00904754638674,73.67611556500194
Ouagadougou,Burkina Faso,12.3686,-1.5275,42.84705078124881,51.7566463463008
Fortaleza,Brazil,-3.7275,-38.5275,36.04718231201173,23.509809164330367
Dandong,China,40.1167,124.3833,31.878634643554733,51.202776437625275
Yaounde,Cameroon,3.8667,11.5167,34.53923736572267,22.160262119024996
Zhuhai,China,22.2769,113.5678,35.36531494140627,51.65057681500912
Yingkou,China,40.6653,122.2297,33.60573364257817,49.8087199777363
Antalya,Turkey,36.8874,30.7075,39.329787597656264,54.96314987540245
Lianshan,China,40.7523,120.828,33.89672882080083,46.44461707212033
Nagpur,India,21.1497,79.0806,45.438507995605505,71.40343245863906
Queens,United States,40.7498,-73.7976,34.05532257080043,49.64368541724982
Jilin,China,43.8519,126.5481,34.08846923828128,27.39193485863508
Accra,Ghana,5.55,-0.2,37.217678833007824,21.108876942191305
Yuxi,China,24.3495,102.5432,31.47177612304688,22.508527832105898
Bekasi,Indonesia,-6.2349,106.9923,37.676044616699244,26.906270524486864
Ghaziabad,India,28.67,77.42,42.84656921386721,79.24934705346823
Luoyang,China,34.6587,112.4245,38.76454833984377,31.53045136202127
Brisbane,Australia,-27.4678,153.0281,34.3667269897461,54.52732343226672
Anshun,China,26.2456,105.934,30.59158813476563,25.542538910172862
Shangzhou,China,33.868,109.9244,33.71962432861329,37.24842952564364
Huainan,China,32.4831,117.0164,36.02426574707033,39.74889858718956
Depok,Indonesia,-6.394,106.8225,38.38469207763677,28.043709109537303
Kuaidamao,China,41.7302,125.9471,32.686527709960956,35.63594797812397
Colombo,Sri Lanka,6.9344,79.8428,36.53530273437502,35.0006355671212
Baku,Azerbaijan,40.3667,49.8352,38.89628784179689,18.06206048699097
Fukuoka,Japan,33.5833,130.4,34.537799377441445,90.6164980307221
Yan'an,China,36.5952,109.4863,35.02422027587892,27.390798951499207
Jincheng,China,35.4906,112.8483,36.028598937988306,32.85773306339978
Vancouver,Canada,49.25,-123.1,29.048477172844958,50.02457497268905
Nantong,China,31.9829,120.8873,34.273720703125036,40.076568631455274
Caracas,Venezuela,10.4806,-66.9036,32.44651733398105,23.887263061478755
Tangerang,Indonesia,-6.1783,106.6319,37.63331726074222,26.39515410549938
Sanmenxia,China,34.7736,111.195,37.449821166992194,32.96381738036871
Laibin,China,23.7333,109.2333,35.23942657470707,32.65745548345147
Konya,Turkey,37.8667,32.4833,34.637782592773476,21.167175471782684
Manaus,Brazil,-3.1,-60.0167,37.38164825439076,23.640855099074543
Esfahan,Iran,32.6447,51.6675,39.277561340332056,24.678956212475892
Qinbaling,China,35.7278,107.64,33.71447601318363,30.315745845437053
Baltimore,United States,39.3051,-76.6144,37.870061035150606,43.970253406092475
Ma'anshan,China,31.6858,118.5101,35.769749450683605,41.542231623083346
Shengli,China,37.45,118.4667,37.16900787353518,46.441346369683714
Gaoping,China,30.7824,106.1281,36.21810791015628,28.660721126943827
Las Vegas,United States,36.2333,-115.2654,41.55086761474336,40.37028495222325
Harare,Zimbabwe,-17.8292,31.0522,35.73495971679688,38.491571344435265
Perth,Australia,-31.9559,115.8606,39.79793457031252,31.95301266387108
Havana,Cuba,23.1367,-82.3589,32.47813476562056,51.32084887102242
Phnom Penh,Cambodia,11.5694,104.9211,41.08561523437504,33.67790000885724
Puning,China,23.2993,116.1586,36.08107971191407,46.96033475361762
Huaibei,China,33.9562,116.789,36.436942138671895,39.17741498909885
Qingyang,China,24.8141,118.5792,35.89870361328127,46.02682638913383
Kowloon,Hong Kong,22.3167,114.1833,34.69853271484379,57.58861632272601
Haiphong,Vietnam,20.8651,106.6838,36.654677124023465,44.46418791264287
Chongzuo,China,22.4167,107.3667,37.14129943847661,30.160047736018925
Rawalpindi,Pakistan,33.6,73.0333,41.89655090332036,61.885885410010864
Yushan,China,31.3867,120.9766,34.993386230468786,42.87415690720088
